file_Id,Time,R_R_M,G_R_M,B_R_M,R_L_M,G_L_M,B_L_M,PM2.5,PM10,SO2,NO2,O3,CO,T2m,BLH,U10,V10,TP,SP,T_500,RH_500,U_500,V_500,GP_500,T_700,RH_700,U_700,V_700,GP_700,T_850,RH_850,U_850,V_850,GP_850
20190906114220775.jpg,2019-9-6 12:00,171.2407685,189.19846940000002,197.4826642,105.95059380000001,103.3855939,74.21309619,50,87.0,5.0,28.0,189.0,0.7,30.78551257,1185.145307,-0.292652988,1.318524453,1.7299999999999998e-18,100458.5509,-9.762578873999999,12.59788982,-1.9764306569999999,-5.08737493,56803.110479999996,7.0890582339999995,33.94151943,-4.638150133,-4.242178163,30528.80777,19.27464384,32.42590298,0.61099182,0.163247446,14520.974880000002
20191126101632593.jpg,2019-11-26 10:00,173.76306730000002,192.8210365,199.5750301,142.2816581,125.15485509999999,96.53723898,39,60.0,7.0,46.0,11.0,0.6,-0.058231776,260.5289628,-0.48953301200000005,0.241396749,0.0,102930.0201,-21.91153827,18.8217772,18.97818919,-1.462804117,55143.540839999994,-6.9692772089999995,24.78495421,12.95765205,-3.243228746,30039.79256,-3.39006444,21.34050454,6.316711222,-7.202794974,15105.679180000001
20190601092713878.jpg,2019-6-1 9:00,194.6852756,195.8552789,191.6121865,34.33318866,33.21436451,24.52687838,25,103.0,5.0,55.0,55.0,0.4,22.79792966,526.610742,0.37938601299999997,1.5970637280000002,2.35e-06,100160.3127,-17.47160875,91.43178943,10.06781252,-0.42982509799999996,55432.68143,1.246757678,53.77896239,1.128268022,2.809956297,29852.53583,16.53532122,25.89250086,5.52261426,7.535559986,14102.29561
20190531120852381.jpg,2019-5-31 12:00,147.59484890000002,190.49543490000002,202.8568673,101.5524203,104.93251229999998,61.03808172,4,5.0,1.0,5.0,96.0,0.1,28.98102119,2804.528046,2.058517967,-1.374943615,-1.7299999999999998e-18,100705.4312,-17.85347106,33.60130463,16.1468894,-11.13728561,55654.728839999996,0.467362235,24.01431879,8.996242496,-8.351433281,30046.338969999997,12.71125204,18.42142115,3.679613051,-2.51440935,14498.1962
20190521131244908.jpg,2019-5-21 13:00,151.96001280000002,192.2035434,200.25644530000002,116.5993321,119.6546248,71.62659867,9,11.0,2.0,10.0,106.0,0.1,31.29364041,3574.739852,4.104253077,-1.2879882759999999,0.0,100139.0726,-16.00246951,9.217376655,11.55106848,-23.36735451,55284.78647000001,-1.283039977,59.29214003,10.394214,-8.866596007,29703.07437,14.30605921,24.80117476,7.901575192999999,-3.440911668,14093.863519999999
20190807122810913.jpg,2019-8-7 12:00,187.3200244,198.0616591,203.51031,90.5246582,90.06779574,65.08061162,17,27.0,2.0,21.0,88.0,0.8,24.90602914,715.5061188,-0.279934859,0.194867708,0.000136227,100187.9717,-7.11831975,44.32560451,10.10287379,0.560066485,56813.129570000005,8.68278378,63.64944348,2.774267796,-0.316085945,30372.91135,18.23563315,83.80875432,1.285246508,0.922238406,14283.70206
20190602182538601.jpg,2019-6-2 18:00,206.3730119,208.9793005,207.9513274,37.91967351,37.10281093,26.9440279,37,98.0,4.0,26.0,236.0,0.5,30.27668921,1385.862006,1.270408904,-1.199433655,2.3800000000000003e-05,99341.56417,-14.31929106,49.84829941,19.53302367,-3.88546298,55523.981139999996,4.855918155,55.41940064,6.6352931260000005,-0.34902882,29624.90497,19.50044666,37.89612129,3.6913894289999996,1.333968375,13669.40771
20190623183909323.jpg,2019-6-23 19:00,169.1633343,194.8898148,195.5659511,23.08576811,31.41886574,29.198694899999996,39,72.0,4.0,25.0,245.0,0.5,33.75992168,396.5000062,-0.45549324399999996,1.644774516,0.0,100346.1903,-7.386050697999999,8.413902554,3.354739136,3.2488240339999996,57193.14361,8.283514298,49.17308059,-0.19161907,-4.159093452,30718.297730000002,21.10477029,46.83175659,5.574339892,4.857994819,14608.935430000001
20190809171343247.jpg,2019-8-9 17:00,187.9269302,192.1067738,192.1650993,28.027012199999998,30.89082453,27.07544247,26,,3.0,17.0,117.0,0.5,26.13474294,309.8193264,1.120959822,0.585873009,0.00067509,99986.79522999999,-5.562199387000001,65.18054558,8.806374651,12.1401633,56954.57817000001,9.809094108,84.52685855,4.679483811,2.592668304,30317.80801,18.875943499999998,85.44881319,1.80562822,6.901582022,14185.57489
20191010091900153.jpg,2019-10-10 9:00,186.9825244,193.70301469999998,194.6075219,35.3282745,37.21992368,35.47673973,46,52.0,1.0,37.0,11.0,0.6,13.36688445,533.8058968,-0.261064116,0.872535847,0.0,101246.1926,-13.99003018,95.26646829,17.48542372,0.211749345,55887.71147,-0.109830629,55.31453892,2.8348890910000004,-5.523935563999999,30166.455680000003,11.80411851,48.72587103,4.050435632,-2.6800261830000003,14570.843530000002
20190612165106736.jpg,2019-6-12 17:00,190.85263730000003,197.6445216,200.3488504,37.23133198,40.77730095,32.37388841,40,82.0,8.0,31.0,263.0,1.2,34.71343992,1505.640267,2.004291638,3.3635313680000003,3.47e-18,99873.2814,-9.812203159,85.29617456,1.612359811,1.06406072,56631.49015,8.477443499,57.71928063,3.260904829,5.4635031960000005,30330.88342,21.26429411,41.59552969,6.163480262999999,6.975456295,14210.301619999998
20191102101527657.jpg,2019-11-2 10:00,195.2995196,197.0326292,193.5204885,45.49568866,41.81655273,36.44752363,23,54.0,3.0,54.0,8.0,0.7,11.32455395,197.49392230000004,0.8893011479999999,-0.764035128,0.000317591,101977.4024,-19.95874406,97.01638378,7.028028301,6.2858302639999994,55477.66029,-5.336131861,95.34875535,10.39496168,6.686138249,30206.6795,4.708172491,71.70017478,5.335194148,6.101688591,14993.81397
20190621115156896.jpg,2019-6-21 12:00,190.7388099,195.3020237,195.08389269999998,36.92731843,39.37350019,31.71616995,75,90.0,18.0,30.0,139.0,1.6,30.61513296,1585.332618,-2.429082129,2.993735529,1.0300000000000001e-05,100590.3768,-8.25809026,6.225043202999999,3.6530124760000002,-10.90435839,56917.6053,9.098291217,53.53116719,4.625267442,-6.645989563,30626.095839999998,15.20732588,96.69805046,-2.858506261,4.039658949,14594.02878
